Baltimore Precipitation
*** PLEASE NOTE ***
Climate data on this page are PRELIMINARY (unofficial).
CERTIFIED (official) climate data are available from the
National Climatic Data Center (NCDC) - http://www.ncdc.noaa.gov/
*** PLEASE NOTE ***

YEAR	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC	ANNUAL	WINTER 	SPRING	SUMMER	AUTUMN	1ST HALF 2ND HALF	
																				
1871	1.55	1.38	3.03	1.90	2.03	2.82	6.15	3.41	2.22	3.11	3.24	1.90	32.74	m	6.96	12.38	8.57	12.71	20.03	
1872	0.88	1.46	3.06	3.06	1.44	4.16	1.58	4.59	5.06	4.08	3.17	2.22	34.76	4.24	7.56	10.33	12.31	14.06	20.70	
1873	4.27	4.74	3.02	2.77	6.31	0.94	2.90	9.49	3.70	6.21	4.05	0.97	49.37	11.23	12.10	13.33	13.96	22.05	27.32	
1874	2.22	3.18	1.41	6.65	1.92	1.11	4.30	3.47	4.83	0.16	2.48	1.90	33.63	6.37	9.98	8.88	7.47	16.49	17.14	
1875	2.51	2.91	4.72	4.27	1.49	2.85	4.78	8.67	3.62	1.44	4.86	3.14	45.26	7.32	10.48	16.30	9.92	18.75	26.51	
																				
1876	1.67	2.96	6.37	1.90	4.94	4.09	5.64	1.76	10.52	2.79	2.74	1.32	46.70	7.77	13.21	11.49	16.05	21.93	24.77	
1877	3.80	1.87	3.60	3.30	2.23	3.53	4.60	0.64	5.27	5.22	6.85	2.23	43.14	6.99	9.13	8.77	17.34	18.33	24.81	
1878	4.51	3.31	4.74	4.19	5.38	4.09	4.66	4.82	0.82	4.41	3.55	5.61	50.09	10.05	14.31	13.57	8.78	26.22	23.87	
1879	2.59	1.55	1.65	3.69	2.74	3.92	3.16	6.71	2.72	0.75	1.30	5.23	36.01	9.75	8.08	13.79	4.77	16.14	19.87	
1880	2.26	1.96	4.82	3.07	1.23	5.48	6.47	4.44	1.78	2.64	2.86	4.89	41.90	9.45	9.12	16.39	7.28	18.82	23.08	
																				
1881	4.84	5.68	7.59	2.00	2.30	7.81	1.40	2.15	2.98	4.06	2.41	5.90	49.12	15.41	11.89	11.36	9.45	30.22	18.90	
1882	5.38	3.73	3.43	2.14	3.42	2.30	4.02	5.10	9.38	0.86	0.65	1.70	42.11	15.01	8.99	11.42	10.89	20.40	21.71	
1883	3.16	4.69	3.68	3.20	1.22	8.08	3.10	2.72	3.49	2.83	1.37	2.98	40.52	9.55	8.10	13.90	7.69	24.03	16.49	
1884	4.81	6.69	6.37	2.65	3.17	2.51	9.43	1.74	0.09	1.42	3.09	3.91	45.88	14.48	12.19	13.68	4.60	26.20	19.68	
1885	3.07	4.40	1.60	1.37	4.50	6.31	2.67	7.78	1.30	6.51	4.04	2.49	46.04	11.38	7.47	16.76	11.85	21.25	24.79	
																				
1886	4.48	5.49	4.85	2.06	7.07	5.64	8.08	3.94	1.90	1.39	4.09	3.12	52.11	12.46	13.98	17.66	7.38	29.59	22.52	
1887	2.57	4.69	3.49	2.44	2.57	4.44	8.32	4.15	2.80	1.06	2.02	5.04	43.59	10.38	8.50	16.91	5.88	20.20	23.39	
1888	3.35	2.83	4.62	2.11	4.22	3.22	2.82	6.17	4.90	2.99	3.04	3.26	43.53	11.22	10.95	12.21	10.93	20.35	23.18	
1889	4.22	2.53	5.71	8.70	6.82	6.17	11.03	1.40	4.59	4.12	6.45	0.61	62.35	10.01	21.23	18.60	15.16	34.15	28.20	
1890	1.80	4.80	4.07	3.94	5.98	2.42	3.61	6.44	4.76	5.73	0.74	2.67	46.96	7.21	13.99	12.47	11.23	23.01	23.95	
																				
1891	4.89	5.52	7.94	2.48	3.11	5.45	7.79	4.24	5.46	2.76	1.33	3.24	54.21	13.08	13.53	17.48	9.55	29.39	24.82	
1892	6.42	2.41	7.20	3.15	6.35	4.87	4.07	1.83	2.36	0.26	3.85	2.28	45.05	12.07	16.70	10.77	6.47	30.40	14.65	
1893	1.78	4.43	1.38	3.52	3.78	2.26	1.88	1.81	1.80	3.44	3.78	2.29	32.15	8.49	8.68	5.95	9.02	17.15	15.00	
1894	1.46	3.53	1.19	3.80	7.26	3.29	1.73	1.41	4.75	3.80	1.98	4.12	38.32	7.28	12.25	6.43	10.53	20.53	17.79	
1895	4.67	0.83	2.94	7.42	3.04	2.83	3.40	2.43	6.01	2.20	1.86	2.84	40.47	9.62	13.40	8.66	10.07	21.73	18.74	
																				
1896	2.62	7.07	4.70	1.44	1.61	3.94	6.32	1.93	4.14	1.11	3.34	0.37	38.59	12.53	7.75	12.19	8.59	21.38	17.21	
1897	2.05	5.13	2.40	3.19	6.88	2.57	6.93	4.71	2.17	3.67	4.39	3.40	47.49	7.55	12.47	14.21	10.23	22.22	25.27	
1898	2.99	1.32	2.58	1.84	3.86	1.06	3.51	6.09	1.56	3.97	4.34	3.34	36.46	7.71	8.28	10.66	9.87	13.65	22.81	
1899	3.50	5.47	4.93	1.89	3.29	2.16	1.64	4.86	7.09	2.09	2.27	1.40	40.59	12.31	10.11	8.66	11.45	21.24	19.35	
1900	2.11	4.65	3.17	2.06	1.00	4.34	1.51	2.91	4.26	1.68	1.81	2.07	31.57	8.16	6.23	8.76	7.75	17.33	14.24	
																				
1901	2.45	0.65	3.58	5.53	3.67	0.90	6.18	6.73	2.50	1.52	2.26	7.07	43.04	5.17	12.78	13.81	6.28	16.78	26.26	
